epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,440.064,1.83986,1.43662,0.00633,0.7192,0.7393,0.76973,0.29738,2.2835,1.11332,0.00856,0.00333118,0.00333118,0.0700194
2,842.385,1.71999,1.04822,0.00579,0.81949,0.79579,0.85694,0.4953,1.95593,0.97294,0.00596,0.00666226,0.00666226,0.0400171
3,1230.59,1.66186,0.9574,0.00546,0.8031,0.85424,0.87061,0.49584,2.04255,0.85795,0.00568,0.00998433,0.00998433,0.0100059
4,1619.6,1.60585,0.87826,0.00523,0.89861,0.8651,0.90377,0.47946,1.94303,0.75938,0.00636,0.0099696,0.0099696,0.0099696
5,2008.13,1.54065,0.82967,0.0049,0.88239,0.85522,0.88634,0.51482,1.97785,0.75703,0.0058,0.009946,0.009946,0.009946
6,2397.3,1.52269,0.82521,0.00486,0.85097,0.85597,0.88985,0.52903,1.92432,0.81927,0.00566,0.00991572,0.00991572,0.00991572
7,2788.57,1.50325,0.8043,0.00471,0.86102,0.83375,0.8754,0.49622,2.0413,0.7856,0.006,0.00987878,0.00987878,0.00987878
8,3180.57,1.47101,0.78327,0.00457,0.87625,0.86327,0.87966,0.50621,1.97598,0.76472,0.00546,0.00983526,0.00983526,0.00983526
9,3568.73,1.45336,0.77675,0.00448,0.86621,0.86019,0.8913,0.54003,1.92304,0.75752,0.00527,0.00978519,0.00978519,0.00978519
10,3962.96,1.43345,0.76767,0.00437,0.871,0.85768,0.88657,0.52142,2.0187,0.77601,0.00561,0.00972866,0.00972866,0.00972866
11,4356.58,1.42683,0.76372,0.00447,0.8793,0.8635,0.89942,0.53839,1.91492,0.73056,0.00525,0.00966574,0.00966574,0.00966574
12,4747.79,1.41652,0.74177,0.00426,0.8798,0.87415,0.90699,0.53229,1.93813,0.74922,0.00537,0.00959651,0.00959651,0.00959651
13,5136.71,1.40048,0.74826,0.00418,0.87817,0.87581,0.90642,0.5384,1.90158,0.72798,0.00527,0.00952107,0.00952107,0.00952107
14,5524.72,1.39196,0.73564,0.00412,0.86798,0.86733,0.89641,0.52419,1.98826,0.75269,0.00553,0.00943953,0.00943953,0.00943953
15,5913.89,1.3757,0.71996,0.00416,0.85438,0.88055,0.89482,0.53831,1.96778,0.75272,0.00524,0.00935199,0.00935199,0.00935199
16,6307.01,1.36381,0.73161,0.0041,0.85567,0.87101,0.89459,0.53968,1.95501,0.79081,0.00535,0.00925857,0.00925857,0.00925857
17,6696.91,1.36042,0.72414,0.0041,0.87562,0.87245,0.8981,0.53374,1.99359,0.72184,0.00546,0.00915941,0.00915941,0.00915941
18,7081.85,1.35808,0.71779,0.00408,0.87617,0.86826,0.90494,0.54234,1.98257,0.73123,0.00531,0.00905463,0.00905463,0.00905463
19,7475.05,1.34562,0.7152,0.00405,0.86872,0.86951,0.90406,0.54734,1.96415,0.74313,0.00525,0.00894439,0.00894439,0.00894439
20,7867.2,1.33472,0.70246,0.00399,0.85798,0.87535,0.89783,0.53837,1.9553,0.75627,0.00534,0.00882882,0.00882882,0.00882882
21,8257.21,1.32202,0.69645,0.00392,0.85355,0.87389,0.89996,0.54233,1.95417,0.76767,0.00533,0.00870809,0.00870809,0.00870809
22,8641.35,1.31346,0.70007,0.00388,0.84968,0.86961,0.89457,0.5457,1.97485,0.77459,0.00525,0.00858237,0.00858237,0.00858237
23,9030.28,1.31003,0.69089,0.00384,0.85914,0.87195,0.88601,0.5299,2.01889,0.75476,0.0055,0.00845182,0.00845182,0.00845182
24,9421.21,1.29992,0.68583,0.00385,0.85023,0.87516,0.89734,0.54071,1.96491,0.7678,0.00533,0.00831663,0.00831663,0.00831663
25,9814.1,1.29305,0.68778,0.00381,0.86251,0.85843,0.89723,0.53525,2.03886,0.76902,0.00551,0.00817697,0.00817697,0.00817697
26,10207.1,1.28669,0.68535,0.00377,0.86745,0.86341,0.89628,0.52831,2.04998,0.76587,0.00562,0.00803304,0.00803304,0.00803304
27,10592.8,1.28556,0.68401,0.00376,0.86022,0.87047,0.8972,0.52212,2.04402,0.7674,0.00567,0.00788504,0.00788504,0.00788504
28,10978.9,1.26856,0.67408,0.00371,0.8605,0.87469,0.89816,0.51398,2.0229,0.75933,0.00569,0.00773316,0.00773316,0.00773316
29,11364.2,1.2689,0.66705,0.00373,0.86986,0.87148,0.90081,0.52597,2.00776,0.75917,0.00555,0.00757762,0.00757762,0.00757762
30,11750.9,1.27038,0.67021,0.0037,0.86707,0.87812,0.90012,0.52852,2.01279,0.74369,0.00555,0.00741863,0.00741863,0.00741863
31,12141.6,1.25577,0.66275,0.00364,0.86804,0.87356,0.89854,0.5237,2.02554,0.75362,0.00564,0.0072564,0.0072564,0.0072564
32,12531.8,1.24236,0.65282,0.0036,0.86826,0.87197,0.89952,0.53139,2.01732,0.74631,0.00555,0.00709116,0.00709116,0.00709116
33,12926.2,1.24086,0.65228,0.00356,0.86357,0.87429,0.89945,0.52996,2.01564,0.75133,0.00559,0.00692313,0.00692313,0.00692313
34,13320.8,1.24712,0.65348,0.00357,0.86102,0.87407,0.90074,0.52998,2.00922,0.75341,0.0056,0.00675255,0.00675255,0.00675255
