epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.47,1.10832,1.29699,0.01419,0.79791,0.91154,0.92119,0.64755,1.20748,0.65002,0.022,0.00333202,0.00333202,0.0700118
2,1288.87,0.90867,0.77522,0.01144,0.9222,0.92418,0.94783,0.77236,0.85054,0.52747,0.01561,0.0066631,0.0066631,0.0400095
3,1889.27,0.80824,0.66587,0.00997,0.78698,0.91334,0.92517,0.76533,0.76503,0.58342,0.01382,0.00998518,0.00998518,0.00999826
4,2484.82,0.73951,0.57483,0.00905,0.87447,0.93825,0.94945,0.75772,0.83166,0.51483,0.01539,0.0099696,0.0099696,0.0099696
5,3078.98,0.6949,0.53512,0.00846,0.91245,0.93413,0.94374,0.77974,0.70195,0.43881,0.01249,0.009946,0.009946,0.009946
6,3681.39,0.66232,0.50433,0.00801,0.93652,0.93732,0.95282,0.80436,0.65944,0.3963,0.01178,0.00991572,0.00991572,0.00991572
7,4285.19,0.64736,0.48111,0.00781,0.87451,0.93373,0.9337,0.79011,0.73405,0.59558,0.01292,0.00987878,0.00987878,0.00987878
8,4890.78,0.62391,0.46172,0.00745,0.88257,0.95443,0.95061,0.80673,0.65338,0.46355,0.01139,0.00983526,0.00983526,0.00983526
9,5493.53,0.60901,0.44518,0.00726,0.95186,0.93373,0.96803,0.82754,0.65539,0.42804,0.01171,0.00978519,0.00978519,0.00978519
10,6099.74,0.60072,0.43555,0.00716,0.94565,0.93631,0.95587,0.82335,0.66838,0.42509,0.01187,0.00972866,0.00972866,0.00972866
11,6706.46,0.58089,0.4112,0.00688,0.95091,0.9462,0.94942,0.80864,0.6721,0.43913,0.01179,0.00966574,0.00966574,0.00966574
12,7315.99,0.57799,0.40641,0.00691,0.94281,0.94916,0.94945,0.80688,0.67178,0.42714,0.01181,0.00959651,0.00959651,0.00959651
13,7927.56,0.56848,0.4069,0.00674,0.93336,0.94254,0.9506,0.8091,0.68862,0.448,0.01206,0.00952107,0.00952107,0.00952107
14,8555.72,0.54773,0.38416,0.00645,0.9509,0.92534,0.94488,0.80333,0.67087,0.45804,0.01169,0.00943953,0.00943953,0.00943953
15,9173.86,0.53912,0.37819,0.00636,0.93688,0.93121,0.95539,0.80046,0.71362,0.45489,0.0125,0.00935199,0.00935199,0.00935199
16,9782.48,0.53307,0.37206,0.00626,0.94785,0.9468,0.94843,0.78649,0.73245,0.45533,0.01272,0.00925857,0.00925857,0.00925857
17,10392.7,0.53056,0.37076,0.00627,0.94869,0.94038,0.94388,0.78756,0.7298,0.46745,0.01272,0.00915941,0.00915941,0.00915941
18,10993.6,0.51694,0.35691,0.00608,0.91304,0.91945,0.93933,0.78701,0.72112,0.52113,0.01258,0.00905463,0.00905463,0.00905463
19,11602.7,0.50873,0.34676,0.006,0.92737,0.93317,0.94265,0.79174,0.71684,0.49121,0.01245,0.00894439,0.00894439,0.00894439
20,12210.6,0.50517,0.35095,0.00597,0.94185,0.9362,0.94572,0.79665,0.71444,0.46235,0.01247,0.00882882,0.00882882,0.00882882
21,12817.9,0.49434,0.33196,0.00585,0.93809,0.92579,0.94266,0.79725,0.69744,0.47336,0.01217,0.00870809,0.00870809,0.00870809
22,13413.1,0.49007,0.33569,0.00573,0.93512,0.92349,0.94189,0.79583,0.69672,0.48518,0.01217,0.00858237,0.00858237,0.00858237
23,14012,0.48246,0.3278,0.00565,0.93302,0.9389,0.94493,0.79602,0.69818,0.47667,0.01217,0.00845182,0.00845182,0.00845182
24,14615.7,0.47997,0.32135,0.00565,0.93702,0.93904,0.9456,0.79499,0.6986,0.4719,0.01217,0.00831663,0.00831663,0.00831663
